Customer placed order datetime,Placed order with restaurant datetime,Driver at restaurant datetime,Delivered to consumer datetime,Driver ID,Restaurant ID,Consumer ID,Delivery Region,Is ASAP,Order total,Amount of discount,Amount of tip,Refunded amount,Customer placed order (minutes),Placed order with restaurant (minutes),Driver at restaurant (minutes),Delivered to consumer (minutes),Day,Time_to_Restaurant (min),Restaurant_Prep_Time (min),Total_Delivery_Time (min),DayOfWeek,IsWeekend,IsHolidayPeriod,Net_Revenue,Hour_of_Day
01 00:00:47,01 01:44:06,01 01:53:24,01 02:11:35,216,59,5271,Palo Alto,False,32.05,0.0,3.21,0.0,0.7833333333333333,104.1,113.4,131.58333333333334,1,103.31666666666666,9.300000000000011,130.8,Tuesday,0,0,32.05,0
01 00:03:15,01 00:07:22,,01 00:28:17,259,83,640,Palo Alto,True,21.12,0.0,1.39,0.0,3.25,7.366666666666666,,28.283333333333335,1,4.116666666666666,,25.033333333333335,Tuesday,0,0,21.12,0
01 00:03:54,01 00:12:37,,01 01:06:19,66,63,25002,Palo Alto,False,110.45,0.0,14.4,0.0,3.9,12.616666666666667,,66.31666666666666,1,8.716666666666667,,62.416666666666664,Tuesday,0,0,110.45,0
01 00:04:46,01 00:07:26,,01 00:49:43,313,83,9923,Palo Alto,True,63.31,0.0,3.17,0.0,4.766666666666667,7.433333333333334,,49.71666666666667,1,2.666666666666667,,44.95,Tuesday,0,0,63.31,0
01 00:04:49,01 00:07:40,01 00:17:50,01 00:46:26,133,86,60072,Palo Alto,True,61.98,0.0,2.57,0.0,4.816666666666666,7.666666666666667,17.833333333333332,46.43333333333333,1,2.8500000000000005,10.166666666666664,41.61666666666666,Tuesday,0,0,61.98,0
01 00:05:30,01 00:06:27,01 00:15:30,01 01:03:54,320,20,9792,Palo Alto,True,126.35,0.0,5.25,0.0,5.5,6.45,15.5,63.9,1,0.9500000000000002,9.05,58.4,Tuesday,0,0,126.35,0
01 00:05:57,01 00:11:33,01 00:20:08,01 00:53:00,222,19,2575,Palo Alto,True,27.21,0.0,0.0,0.0,5.95,11.55,20.133333333333333,53.0,1,5.6000000000000005,8.583333333333332,47.05,Tuesday,0,0,27.21,0
01 00:06:02,01 00:10:43,01 00:19:47,01 00:39:50,215,207,607,Palo Alto,True,29.82,0.0,2.19,0.0,6.033333333333333,10.716666666666667,19.783333333333335,39.833333333333336,1,4.683333333333334,9.066666666666668,33.800000000000004,Tuesday,0,0,29.82,0
01 00:06:44,01 00:11:57,01 00:21:08,01 00:32:55,336,182,62240,San Jose,True,16.74,6.0,3.0,0.0,6.733333333333333,11.95,21.133333333333333,32.916666666666664,1,5.216666666666666,9.183333333333334,26.18333333333333,Tuesday,0,0,16.74,0
01 00:06:48,01 02:14:10,,01 02:40:25,133,94,5509,Palo Alto,False,48.14,0.0,5.81,0.0,6.8,134.16666666666666,,160.41666666666666,1,127.36666666666666,,153.61666666666665,Tuesday,0,0,48.14,0
